105.145.171.151	辽宁	2018-06-01	1532057592615	4389195290417379165	www.jd.com	/per/usr/view/96235
105.145.171.151	辽宁	2018-06-01	1532057592616	4389195290417379165	www.dangdang.com	/usr/login
105.145.171.151	辽宁	2018-06-01	1532057592617	4389195290417379165	www.taobao.com	/per/comment
156.179.160.30	吉林	2018-06-01	1532057592617	5325897281591868217	www.suning.com	/usr/regist
156.179.160.30	吉林	2018-06-01	1532057592617	5325897281591868217	www.dangdang.com	/per/comment
156.179.160.30	吉林	2018-06-01	1532057592618	5325897281591868217	www.baidu.com	/per/usr/view/96235
190.37.92.153	北京	2018-06-01	1532057592618	5442936660226459177	www.suning.com	/per/usr/vheck
190.37.92.153	北京	2018-06-01	1532057592619	5442936660226459177	www.dangdang.com	/per/getDetail/90212
190.37.92.153	北京	2018-06-01	1532057592619	5442936660226459177	www.gome.com.cn	/usr/regist
190.37.92.153	北京	2018-06-01	1532057592619	5442936660226459177	www.dangdang.com	/per/getDetail/90212
190.37.92.153	北京	2018-06-01	1532057592620	5442936660226459177	www.dangdang.com	/per/getDetail/90212
14.192.111.162	浙江	2018-06-01	1532057592620	2729036904202283535	www.baidu.com	/per/usr/vheck
157.140.205.43	山西	2018-06-01	1532057592620	7525107213152810709	www.suning.com	/per/comment
94.0.201.117	湖南	2018-06-01	1532057592621	4926659864297255839	www.gome.com.cn	/per/usr/vheck
161.59.30.196	山西	2018-06-01	1532057592621	3572062651028442022	www.baidu.com	/per/usr/vheck
161.59.30.196	山西	2018-06-01	1532057592621	3572062651028442022	www.baidu.com	/per/usr/vheck
161.59.30.196	山西	2018-06-01	1532057592622	3572062651028442022	www.mi.com	/per/usr/view/96235
98.173.26.105	香港	2018-06-01	1532057592622	9180539059907234209	www.jd.com	/per/usr/vheck
79.48.85.87	广西	2018-06-01	1532057592622	5273804877512630061	www.taobao.com	/usr/login
123.180.29.190	辽宁	2018-06-01	1532057592623	3164374644101152078	www.suning.com	/per/usr/view/96235
123.180.29.190	辽宁	2018-06-01	1532057592623	3164374644101152078	www.baidu.com	/per/getDetail/90212
123.180.29.190	辽宁	2018-06-01	1532057592623	3164374644101152078	www.gome.com.cn	/usr/regist
197.133.52.49	海南	2018-06-01	1532057592624	6064712595290452386	www.suning.com	/per/comment
217.222.205.24	新疆	2018-06-01	1532057592624	8381042835255221545	www.jd.com	/usr/login
217.222.205.24	新疆	2018-06-01	1532057592624	8381042835255221545	www.suning.com	/usr/login
217.222.205.24	新疆	2018-06-01	1532057592624	8381042835255221545	www.gome.com.cn	/usr/login
182.100.143.99	北京	2018-06-01	1532057592625	3114931617186429542	www.suning.com	/usr/regist
182.100.143.99	北京	2018-06-01	1532057592625	3114931617186429542	www.suning.com	/usr/login
182.100.143.99	北京	2018-06-01	1532057592625	3114931617186429542	www.baidu.com	/usr/regist
14.32.54.171	上海	2018-06-01	1532057592625	1652606286324364792	www.taobao.com	/usr/regist
14.32.54.171	上海	2018-06-01	1532057592626	1652606286324364792	www.mi.com	/per/comment
14.32.54.171	上海	2018-06-01	1532057592626	1652606286324364792	www.jd.com	/per/getDetail/90212
14.32.54.171	上海	2018-06-01	1532057592626	1652606286324364792	www.baidu.com	/usr/regist
